公開ステータス(ID),商品コード,商品名,催事コード,部門コード,販売価格,通常価格,税率,商品説明(一覧),商品説明(詳細),店舗コード,在庫数,在庫数無制限フラグ,販売制限数,商品画像
1,2200001000010,イトマキボラ,2,0031,3000.00,3000.00,,青島どれのイトマキボラ,青島どれのイトマキボラ。全長１７ｃｍ,,,1,2,0802065547_61071863f1ced.jpg
1,2200001000030,ヤツシロガイ,2,0031,800.00,800.00,,木崎浜,木崎浜,,,1,3,0802071629_61071d3d0483b.jpg
1,2200001000030,ヤツシロガイ,2,0031,800.00,,,木崎浜,木崎浜,052,29,,,0802071629_61071d3d0483b.jpg
1,2200001000030,ヤツシロガイ,2,0031,800.00,,,木崎浜,木崎浜,056,50,,,0802071629_61071d3d0483b.jpg
1,2200001000030,ヤツシロガイ,2,0031,800.00,,,木崎浜,木崎浜,055,49,,,0802071629_61071d3d0483b.jpg
1,2200001000030,ヤツシロガイ,2,0031,800.00,,,木崎浜,木崎浜,053,50,,,0802071629_61071d3d0483b.jpg
1,2200001000030,ヤツシロガイ,2,0031,800.00,,,木崎浜,木崎浜,054,50,,,0802071629_61071d3d0483b.jpg
1,2200001000040,オニノツノガイ,2,0031,7000.00,7000.00,,オニノツノガイ一覧用,オニノツノガイ(詳細),,90,,,
1,2200001000050,ヤリガイ,2,0031,2000.00,2000.00,,ヤリガイ一覧用,ヤリガイ(詳細),,10,,,
1,2200001000050,ヤリガイ,2,0031,7000.00,7000.00,,ヤリガイ一覧用,ヤリガイ(詳細),052,10,,,
1,2200001000050,ヤリガイ,2,0031,7000.00,7000.00,,ヤリガイ一覧用,ヤリガイ(詳細),056,10,,,
1,2200001000060,ツメタガイ,2,0031,300.00,300.00,,ツメタガイ一覧用,ツメタガイ(詳細),,100,,,
1,2200001000060,ツメタガイ,2,0031,700.00,700.00,,ツメタガイ一覧用,ツメタガイ(詳細),052,100,,,
1,2200001000060,ツメタガイ,2,0031,700.00,700.00,,ツメタガイ一覧用,ツメタガイ(詳細),056,100,,,
1,2200001000060,ツメタガイ,2,0031,700.00,700.00,,ツメタガイ一覧用,ツメタガイ(詳細),055,100,,,
1,2200001000070,ヒメダカラ,2,0031,1100.00,1100.00,,ヒメダカラ一覧用,ヒメダカラ(詳細),,100,,,0807094922_610dd892eb2d1.jpg
1,2200001000080,ホネガイ,2,0031,2000.00,2000.00,,ホネガイ一覧用,ホネガイ(詳細),,10,,,
1,2200001000080,ホネガイ,2,0031,2200.00,2200.00,,ホネガイ一覧用,ホネガイ(詳細),052,10,,,
1,2200001000080,ホネガイ,2,0031,2200.00,2200.00,,ホネガイ一覧用,ホネガイ(詳細),056,10,,,
1,2200001000080,ホネガイ,2,0031,2200.00,2200.00,,ホネガイ一覧用,ホネガイ(詳細),055,10,,,
1,2200001000090,ザルガイ,2,0031,1100.00,1100.00,,ザルガイ一覧用,ザルガイ(詳細),,100,,,
2,2200001000100,コヤスガイ,2,0031,9800.00,9800.00,,コヤスガイ一覧用,コヤスガイ(詳細),,10,,,
2,2200001000100,コヤスガイ,2,0031,11000.00,11000.00,10,コヤスガイ一覧用,コヤスガイ(詳細),052,10,,,
1,2200001000110,サクラガイ,2,0031,11000.00,11000.00,,サクラガイ一覧用,サクラガイ(詳細),,10,,,
1,2200001000110,サクラガイ,2,0031,11000.00,11000.00,10,サクラガイ一覧用,サクラガイ(詳細),052,10,,,
1,2200001000120,マテガイ,2,0031,1200.00,1200.00,,マテガイ一覧用,マテガイ(詳細),,10,,,
1,2200001000120,マテガイ,2,0031,1200.00,1200.00,,マテガイ一覧用,マテガイ(詳細),052,10,,,
